Номер,Проект,Инициатор,Ответственный,Приоритет,Влияние,Воспроизводимость,Версия продукта,Категория,Создан,Операционная система,Версия ОС,Платформа,Видимость,Изменена,Тема,Состояние,Решение,Решена в версии
0001499,[Matvienko K.] https://avada-media.ua,valera4,,обычный,малое,не проверялась,,General,2023-12-12,,,,публичная,2023-12-12,test,новая,открыта,
0001326,[Matvienko K.] https://avada-media.ua,YA,,высокий,тривиальное,всегда,,General,2023-08-18,,,,публичная,2023-08-18,Отсутствует валидация для количества любого выбираемого товара,новая,открыта,
0000734,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,большое,всегда,,General,2023-01-04,,,,публичная,2023-01-04,"Браузер не загружает страницу для просмотра по поисковому запросу ""ИДЕИ UI / UX""",назначена,открыта,
0000733,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-04,,,,публичная,2023-01-04,"Отсутствует элемент стилизации для ссылки ""Електронні картки Apple і Google"" в боковом меню - раздел ""РІШЕННЯ""",назначена,открыта,
0000723,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-04,"Отсутствует ссылка ""НАЗАД У ГЛОСАРІЙ""/""BACK TO GLOSSARY"" при просмотре страницы ""ЩО ТАКЕ ЧАТ-БОТ?"" в UA и EN локализациях",назначена,открыта,
0000732,[Matvienko K.] https://avada-media.ua,administrator,,обычный,большое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,Отсутствует валидация вводимых значений в форме для получения расчета стоимости проэкта,новая,открыта,
0000731,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Отсутствует кнопка ""НАЗАД В ГЛОССАРИЙ"" при просмотре страницы ""ЧТО ТАКОЕ BLOCKCHAIN?"" на RU локализиции",назначена,открыта,
0000730,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Не кликабельная ссылка ""Blockchain"" в UA и EN локализациях",назначена,открыта,
0000727,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Не кликабельная ссылка ""НАЗАД У ГЛОСАРІЙ"" на странице ""ЩО ТАКЕ BEHANCE?"" на UA локализации",назначена,открыта,
0000729,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Раздел ""Матеріали"" смещён влево на 30 px - на главной странице сайта ""SPACELAB""",назначена,открыта,
0000728,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,малое,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Не кликабельная ссылка ""Android"" на странице ""F.A.Q.""",назначена,открыта,
0000726,[Matvienko K.] https://avada-media.ua,administrator,Kirilenko Andrey,обычный,текст/опечатка,всегда,,General,2023-01-03,,,,публичная,2023-01-03,"Не соответствует название статьи, предложенной для перехода ссылке в EN локализации",назначена,открыта,
